protocol,feature_set,model,training_mode,Eu valence,fold,train_rows,test_rows,mae,rmse,r2
group_host,AF,xgboost,pooled,2,2,518,108,38.106705842194735,57.73061060424301,0.39938907308253424
group_host,AF,xgboost,pooled,2,3,490,136,41.245512569651886,64.64538781936746,0.27348051038977006
group_host,AF,xgboost,pooled,2,4,500,126,44.37654041108631,66.07246710166588,0.2442051126601592
group_host,AF,xgboost,pooled,3,0,832,207,13.832577912703805,25.643720602095303,-0.7987617907920377
group_host,AF,xgboost,pooled,3,1,839,200,11.493327026367188,19.934459734426717,-0.36127302353652513
group_host,AF,xgboost,pooled,3,2,867,172,11.616964118425237,22.235522664624963,-0.23811611441325908
group_host,AF,xgboost,pooled,3,3,833,206,17.355679113888048,30.527060547779048,0.2943585809975656
group_host,AF,xgboost,pooled,3,4,785,254,17.86082530584861,38.949829828668534,-0.1657423211434208
group_host,AF,xgboost,separate,2,0,499,127,39.674782820573945,58.885808821653164,0.34286719001646293
group_host,AF,xgboost,separate,2,1,497,129,30.21427811023801,53.531659632171284,0.4322326134799065
group_host,AF,xgboost,separate,2,2,518,108,34.24851989746094,51.265498979622954,0.5263786135645205
group_host,AF,xgboost,separate,2,3,490,136,37.069521960090185,54.636838320142026,0.4810287508168012
group_host,AF,xgboost,separate,2,4,500,126,30.102225167410715,52.6882484636334,0.5193926305972614
group_host,AF,xgboost,separate,3,0,832,207,7.505000754830918,19.53280945373062,-0.043616670440717265
group_host,AF,xgboost,separate,3,1,839,200,6.1544108581542964,14.022299410387104,0.32644235369174035
group_host,AF,xgboost,separate,3,2,867,172,5.44857397744822,10.28486650173516,0.7351109479351396
group_host,AF,xgboost,separate,3,3,833,206,11.461602072113926,30.25170757180275,0.3070308900676755
group_host,AF,xgboost,separate,3,4,785,254,12.90457297497847,34.39632687853685,0.09089181206989438
group_host,AF+ES,median,pooled,2,0,499,127,76.96850393700787,99.16426362910362,-0.8635551287878804
group_host,AF+ES,median,pooled,2,1,497,129,98.6124031007752,112.21383932668068,-1.4948352400241625
group_host,AF+ES,median,pooled,2,2,518,108,97.9074074074074,115.55013341979893,-1.4061451898721504
group_host,AF+ES,median,pooled,2,3,490,136,91.21323529411765,109.75202664616803,-1.0940993202416034
group_host,AF+ES,median,pooled,2,4,500,126,110.37301587301587,126.44507559749863,-1.7680041941129905
group_host,AF+ES,median,pooled,3,0,832,207,5.98792270531401,19.22184873000081,-0.010652585084277577
group_host,AF+ES,median,pooled,3,1,839,200,6.86,17.34877517290486,-0.03103625343801486
group_host,AF+ES,median,pooled,3,2,867,172,9.0,20.481131418602015,-0.05044805167102684
group_host,AF+ES,median,pooled,3,3,833,206,16.87378640776699,38.56982068873493,-0.12644327909842157
